ID,CONTRATO,COD_CANONICO,NOMENCLATURA_ORIGINAL,DIVERGENCIA,ACAO
L041,CEF,RES.COMPROVANTE_PG,COMPROVANTE_PG_RECSISÃO,DUPLICIDADE no mesmo contrato/evento,
L041,CEF,RES.COMPROVANTE_PG,COMPROVANTE_PG_RECSISÃO,PASTA incompatível com a família do documento,
L048,CEF,BEN.RELACAO_VA_VR,RELAÇÃO_DE_VA_VR,LINHA COMPOSTA: descreve mais de um artefato,
L049,CEF,BEN.COMPROVANTE_VA_VR,COMPROVANTE_PG_VA_VR,LINHA ÓRFÃ: sem contrato de origem,
L049,CEF,BEN.COMPROVANTE_VA_VR,COMPROVANTE_PG_VA_VR,COMPETÊNCIA em branco,
L049,CEF,BEN.COMPROVANTE_VA_VR,COMPROVANTE_PG_VA_VR,PERIODICIDADE em branco,
L049,CEF,BEN.COMPROVANTE_VA_VR,COMPROVANTE_PG_VA_VR,PREVISÃO/fundamento em branco,
L049,CEF,BEN.COMPROVANTE_VA_VR,COMPROVANTE_PG_VA_VR,DESCRIÇÃO do documento em branco,
L050,CEF,INS.DCTFWEB,DCTFWEB_COMPLETA,LINHA COMPOSTA: descreve mais de um artefato,
L051,CEF,INS.COMPROVANTE_PG,COMPROVANTE_PG_INSS,PREVISÃO/fundamento em branco,
L053,DOCAS,OPE.RELATORIO_MEDICAO,RELATÓRIO_DE_FATURAMENTO,DUPLICIDADE no mesmo contrato/evento,
L055,DOCAS,OPE.RELATORIO_MEDICAO,RELATÓRIO_DE_ATIVIDADES_DESENVOLVIDAS_POR _CADA_UM_DOS_POSTOS_DE_TRABALHO,DUPLICIDADE no mesmo contrato/evento,
L055,DOCAS,OPE.RELATORIO_MEDICAO,RELATÓRIO_DE_ATIVIDADES_DESENVOLVIDAS_POR _CADA_UM_DOS_POSTOS_DE_TRABALHO,NOMENCLATURA com espaço/caractere irregular,
L058,DOCAS,CER.CRF_FGTS,CRF_FGTS,DUPLICIDADE no mesmo contrato/evento,
L064,DOCAS,CER.CRF_FGTS,CRF_FGTS,DUPLICIDADE no mesmo contrato/evento,
L071,DOCAS,INS.COMPROVANTE_PG,COMPROVANTE_PG_INSS,PREVISÃO/fundamento em branco,
L072,DOCAS,FGT.GUIA,GFD_GUIA_DO_FGTS,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior""",
L074,DOCAS,FIS.NOTA_FISCAL,NOTA _FISCAL,NOMENCLATURA com espaço/caractere irregular,
L093,SESCOOP,RES.COMPROVANTE_PG,COMPROVANTE_PG_RECSISÃO,PASTA incompatível com a família do documento,
L094,SESCOOP,INS.DARF,DCTFWEB_DARF,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior""",
L110,SESCOOP,FGT.RELATORIO_DIGITAL,GFD_GUIA_DO_FGTS,COLISÃO: mesma nomenclatura usada para dois documentos distintos,
L116,Telebrás,FIS.NF_XML,XML,LINHA ÓRFÃ: sem contrato de origem,
L116,Telebrás,FIS.NF_XML,XML,COMPETÊNCIA em branco,
L116,Telebrás,FIS.NF_XML,XML,PERIODICIDADE em branco,
L116,Telebrás,FIS.NF_XML,XML,PREVISÃO/fundamento em branco,
L116,Telebrás,FIS.NF_XML,XML,DESCRIÇÃO do documento em branco,
L127,TERRACAP,FIS.NOTA_FISCAL,NOTA _FISCAL,NOMENCLATURA com espaço/caractere irregular,
L134,TERRACAP,CER.CND_FALENCIA,CND FALENCIA E RECUP JUD,NOMENCLATURA com espaço/caractere irregular,
L139,TJ CE,FIS.NOTA_FISCAL,NOTA _FISCAL,NOMENCLATURA com espaço/caractere irregular,
L141,TJ CE,INS.DARF,DCTFWEB_DARF,DUPLICIDADE no mesmo contrato/evento,
